,Player,Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
16,Jason Boltus,QB,6-3,225,4.82,31.5,26,111,7.00,4.47
17,Rhett Bomar,QB,6-2,225,4.70,,25,106,6.91,4.06
20,Tom Brandstater,QB,6-5,220,4.87,28.5,,106,6.93,4.37
29,Nathan Brown,QB,6-1,219,4.86,30.5,,106,7.43,4.44
47,Hunter Cantwell,QB,6-4,235,5.22,26.0,,99,7.40,4.59
49,Rudy Carpenter,QB,6-2,218,4.89,29.0,11,100,7.25,4.47
68,Chase Daniel,QB,6-0,218,4.79,33.0,,,7.28,4.31
72,Nate Davis,QB,6-1,226,4.95,26.5,,99,,
100,Josh Freeman,QB,6-6,248,4.90,33.5,,119,7.11,4.43
118,Cullen Harper,QB,6-3,225,4.86,30.0,19,105,7.43,4.49
119,Graham Harrell,QB,6-2,223,4.95,29.5,,98,7.45,4.56
132,Chase Holbrook,QB,6-4,242,5.12,27.0,,108,7.93,4.65
135,Brian Hoyer,QB,6-2,215,5.02,32.0,,109,7.10,4.42
200,Stephen McGee,QB,6-3,225,4.61,33.0,,112,7.34,4.49
240,Curtis Painter,QB,6-3,225,4.87,29.0,,102,7.00,4.48
258,Mike Reilly,QB,6-3,214,4.74,30.5,,109,6.76,4.11
267,Mark Sanchez,QB,6-2,227,4.93,32.5,,116,7.06,4.21
286,Matthew Stafford,QB,6-2,225,4.81,30.5,,107,7.06,4.47
317,Pat White,QB,6-0,197,4.55,35.0,,117,7.06,4.42
326,Drew Willy,QB,6-3,215,4.90,30.5,,109,7.18,4.45
327,John Parker Wilson,QB,6-1,219,4.75,29.5,,105,7.53,4.59
362,Sam Bradford,QB,6-4,236,4.79,,,,,
369,Jarrett Brown,QB,6-3,224,4.50,34.5,,114,7.24,4.39
370,Levi Brown,QB,6-3,229,4.93,31.5,20,106,7.07,4.43
381,Sean Canfield,QB,6-4,223,4.93,29.5,,100,7.26,4.39
392,Daryll Clark,QB,6-2,235,4.72,,21,,,
393,Jimmy Clausen,QB,6-3,222,4.76,,,,,
453,Max Hall,QB,6-1,209,4.84,32.0,,102,7.07,4.35
460,Tim Hiller,QB,6-4,229,4.97,32.5,18,118,7.10,4.54
487,Mike Kafka,QB,6-3,225,4.93,32.0,,110,6.96,4.37
499,Dan LeFevour,QB,6-3,230,4.60,29.5,,110,6.93,4.22
502,Thaddeus Lewis,QB,6-0,215,4.84,28.0,,107,,
518,Colt McCoy,QB,6-1,216,4.79,,,114,,
561,Tony Pike,QB,6-6,223,4.90,28.5,,108,7.06,4.53
575,Zac Robinson,QB,6-2,214,4.68,35.0,,110,7.24,4.40
592,John Skelton,QB,6-5,243,4.85,33.5,,108,7.17,4.33
593,Riley Skinner,QB,6-0,214,5.05,30.0,,101,7.04,4.29
596,Jevan Snead,QB,6-3,219,5.04,33.0,,106,7.08,4.33
609,Tim Tebow,QB,6-3,236,4.71,38.5,,115,6.66,4.17
707,Jeff Van Camp,QB,6-5,218,4.83,31.0,,114,6.87,4.16
727,Ryan Colburn,QB,6-3,233,5.12,,,,6.84,4.28
732,Andy Dalton,QB,6-2,215,4.83,29.5,,106,6.93,4.27
739,Pat Devlin,QB,6-3,225,4.81,33.0,,116,7.08,4.32
749,Nathan Enderle,QB,6-4,240,5.12,25.5,,102,7.13,4.46
759,Blaine Gabbert,QB,6-4,234,4.61,33.5,,120,6.84,4.26
818,Jerrod Johnson,QB,6-5,251,4.75,29.0,,119,7.28,4.31
825,Colin Kaepernick,QB,6-5,233,4.53,32.5,,115,6.85,4.18
846,Jake Locker,QB,6-2,231,4.51,35.0,,120,6.77,4.12
851,Ryan Mallett,QB,6-7,253,5.37,24.0,,103,,
860,Greg McElroy,QB,6-2,220,4.84,33.0,,107,7.11,4.45
879,Cam Newton,QB,6-5,248,4.56,35.0,,126,6.92,4.18
894,Christian Ponder,QB,6-2,229,4.63,34.0,,116,6.85,4.09
895,Josh Portis,QB,6-3,211,4.59,40.0,,126,6.84,4.12
949,Ricky Stanzi,QB,6-4,223,4.87,32.5,,110,6.95,4.43
956,Tyrod Taylor,QB,6-1,217,4.47,37.5,,126,6.78,4.09
967,Scott Tolzien,QB,6-2,212,4.92,29.5,,116,6.84,4.12
996,T.J. Yates,QB,6-3,219,5.06,29.5,,104,6.96,4.12
1054,B.J. Coleman,QB,6-3,233,4.94,,,109,7.07,4.38
1059,Aaron Corp,QB,6-3,215,4.61,31.5,,106,7.03,4.30
1060,Kirk Cousins,QB,6-3,214,4.84,28.5,,109,7.05,4.50
1073,Austin Davis,QB,6-2,219,4.69,31.0,,109,6.73,4.11
1090,Nick Foles,QB,6-5,243,5.14,30.5,,112,,
1108,Robert Griffin,QB,6-2,223,4.33,39.0,,120,,
1116,Chandler Harnish,QB,6-2,219,4.68,32.5,,112,6.78,4.15
1117,Jacory Harris,QB,6-3,203,4.65,37.0,,113,7.10,4.40
1145,Jordan Jefferson,QB,6-4,223,4.58,36.5,14,116,6.81,4.06
1166,Case Keenum,QB,6-1,208,4.72,32.5,,103,,
1177,Ryan Lindley,QB,6-4,229,4.86,29.5,,108,7.52,4.45
1181,Andrew Luck,QB,6-4,234,4.59,36.0,,124,6.80,4.28
1214,Kellen Moore,QB,6-0,197,4.82,27.0,,99,7.41,4.56
1224,Brock Osweiler,QB,6-7,242,4.83,,,,,
1287,Ryan Tannehill,QB,6-4,221,4.65,,,,,
1290,Darron Thomas,QB,6-3,220,4.77,36.0,14,121,7.17,4.28
1311,Brandon Weeden,QB,6-3,221,4.89,,,,,
1319,Russell Wilson,QB,5-11,204,4.53,34.0,,118,6.97,4.09
1321,Patrick Witt,QB,6-3,225,5.06,31.5,,101,7.14,4.37
1350,Matt Barkley,QB,6-2,227,4.91,,,,,
1367,Tyler Bray,QB,6-6,232,5.05,,,100,7.20,4.51
1376,Colby Cameron,QB,6-2,212,4.78,30.5,,112,6.98,4.28
1396,Zac Dysert,QB,6-3,231,4.81,,,,,
1422,Mike Glennon,QB,6-7,225,4.94,26.5,,102,7.49,4.52
1430,MarQueis Gray,QB,6-3,240,4.65,30.0,15,111,7.25,4.30
1481,Landry Jones,QB,6-4,225,5.11,31.0,,115,7.12,4.30
1489,Collin Klein,QB,6-5,226,4.78,29.0,,111,7.17,4.40
1512,E.J. Manuel,QB,6-5,237,4.65,34.0,,118,7.08,4.21
1542,Ryan Nassib,QB,6-2,227,5.06,28.5,,105,7.34,4.53
1564,Sean Renfree,QB,6-3,219,4.76,,,,,
1578,Matt Scott,QB,6-2,213,4.69,31.0,,118,6.69,3.99
1587,Geno Smith,QB,6-2,218,4.58,33.5,,124,,
1591,Brad Sorensen,QB,6-4,229,4.97,29.0,,112,7.17,4.55
1626,James Vandenberg,QB,6-3,226,4.92,32.0,,116,6.95,4.52
1658,Tyler Wilson,QB,6-2,215,4.95,28.5,,112,7.22,4.39
1692,Blake Bortles,QB,6-5,232,4.93,32.5,,115,7.08,4.21
1696,Tajh Boyd,QB,6-1,222,4.84,30.5,,106,7.33,4.23
1699,Teddy Bridgewater,QB,6-2,214,,30.0,,113,7.17,4.20
1714,Derek Carr,QB,6-2,214,4.69,34.5,,110,,4.20
1756,David Fales,QB,6-2,212,4.99,28.0,,103,7.55,4.50
1776,Jimmy Garoppolo,QB,6-2,226,4.97,30.5,,110,7.04,4.26
1862,Jordan Lynch,QB,6-0,217,4.76,29.5,,109,6.55,4.20
1866,Johnny Manziel,QB,6-0,207,4.68,31.5,,113,6.75,4.03
1873,Jeff Mathews,QB,6-4,223,5.26,25.5,,105,7.14,4.36
1877,A.J. McCarron,QB,6-3,220,4.94,28.0,,99,7.18,4.34
1882,Zach Mettenberger,QB,6-5,224,,,,,,
1890,Stephen Morris,QB,6-2,213,4.63,30.0,,111,7.36,4.49
1896,Aaron Murray,QB,6-0,207,4.84,,,,,
1921,Bryn Renner,QB,6-3,228,4.87,25.5,,108,7.22,4.30
1938,Tom Savage,QB,6-4,228,4.97,27.0,,105,7.33,4.36
1942,Connor Shaw,QB,6-0,206,4.66,34.0,,116,7.07,4.33
1971,Logan Thomas,QB,6-6,248,4.61,35.5,,118,7.05,4.18
1984,Dustin Vaughan,QB,6-5,235,4.95,29.0,,108,7.25,4.43
1994,Keith Wenning,QB,6-3,218,5.00,28.0,,100,7.07,4.25
2026,Bryan Bennett,QB,6-2,211,4.81,37.0,,125,7.13,4.20
2032,Anthony Boone,QB,6-0,231,5.03,26.5,,100,7.47,4.62
2035,Brandon Bridge,QB,6-4,229,4.72,33.0,,110,7.18,4.37
2046,Shane Carden,QB,6-2,218,4.94,29.5,,104,7.17,4.45
2109,Cody Fajardo,QB,6-1,223,4.63,32.5,,118,6.95,4.10
2134,Garrett Grayson,QB,6-2,213,4.75,,,,,
2146,Connor Halliday,QB,6-3,204,4.87,,,,,
2170,Brett Hundley,QB,6-3,226,4.63,36.0,,120,6.93,3.98
2202,Jerry Lovelocke,QB,6-4,248,4.99,31.5,,113,7.30,4.51
2207,Sean Mannion,QB,6-6,229,5.14,31.0,,105,7.29,4.39
2209,Marcus Mariota,QB,6-4,222,4.52,36.0,,121,6.87,4.11
2247,Bryce Petty,QB,6-3,230,4.87,34.0,,121,6.91,4.13
2285,Blake Sims,QB,5-11,218,4.57,30.5,,115,,
2330,Jameis Winston,QB,6-4,231,4.97,28.5,,103,7.16,4.36
2336,Vernon Adams,QB,5-11,200,4.83,29.5,,114,6.82,4.20
2343,Brandon Allen,QB,6-1,217,4.84,28.0,,110,7.06,4.33
2364,Trevone Boykin,QB,6-0,212,4.77,32.0,,110,,4.40
2368,Jacoby Brissett,QB,6-4,231,4.94,31.0,,113,7.17,4.53
2399,Connor Cook,QB,6-4,217,4.79,33.0,,113,7.21,4.28
2420,Brandon Doughty,QB,6-3,213,5.22,27.0,,103,7.49,4.52
2423,Jeff Driskel,QB,6-4,234,4.56,32.0,,122,7.19,4.25
2446,Jared Goff,QB,6-4,215,4.82,27.0,,110,7.17,4.47
2453,Christian Hackenberg,QB,6-4,223,4.78,31.0,,114,7.04,4.33
2468,Kevin Hogan,QB,6-3,218,4.78,32.5,,113,6.90,4.31
2491,Cardale Jones,QB,6-5,253,4.81,36.0,,,,
2505,Cody Kessler,QB,6-1,220,4.89,29.5,,104,7.32,4.00
2529,Paxton Lynch,QB,6-7,244,4.86,36.0,,118,7.14,4.26
2584,Dak Prescott,QB,6-2,226,4.79,32.5,,116,7.11,4.32
2627,Joel Stave,QB,6-5,236,4.80,33.5,,115,7.29,4.33
2629,Nate Sudfeld,QB,6-6,234,5.02,29.0,,105,,
2656,Carson Wentz,QB,6-5,237,4.77,30.5,,118,6.86,4.15
2666,Josh Woodrum,QB,6-3,231,4.80,31.0,,116,6.74,4.31
2689,C.J. Beathard,QB,6-2,219,,31.0,,113,,
2744,Joshua Dobbs,QB,6-3,216,4.64,33.0,,122,6.75,4.31
2758,Jerod Evans,QB,6-3,232,4.80,26.5,,112,,4.41
2833,Brad Kaaya,QB,6-4,214,,,,,,
2840,DeShone Kizer,QB,6-4,233,4.83,30.5,,107,7.40,4.53
2841,Trevor Knight,QB,6-1,219,4.54,35.5,,125,7.04,4.14
2855,Mitch Leidner,QB,6-3,226,4.93,34.5,,123,6.96,4.25
2859,Sefo Liufau,QB,6-3,232,5.08,27.0,,105,7.32,4.45
2864,Patrick Mahomes,QB,6-2,225,4.80,30.0,,114,6.88,4.08
2903,Nathan Peterman,QB,6-2,226,4.82,31.0,,110,7.14,4.31
2932,Cooper Rush,QB,6-3,228,4.93,27.0,,105,7.23,4.47
2933,Seth Russell,QB,6-3,213,,,,,,
2973,Mitchell Trubisky,QB,6-2,222,4.67,27.5,,116,6.87,4.25
2985,Deshaun Watson,QB,6-2,221,4.66,32.5,,119,6.95,4.31
2987,Davis Webb,QB,6-5,229,4.79,33.0,,118,6.92,4.21
3012,Austin Allen,QB,6-0,210,4.81,29.5,,112,7.18,4.48
3014,Josh Allen,QB,6-5,237,4.75,33.5,,119,6.90,4.40
3028,J.T. Barrett,QB,6-1,224,4.70,30.0,,108,7.38,4.44
3033,Kurt Benkert,QB,6-3,218,4.95,31.0,16,112,7.15,4.33
3076,Sam Darnold,QB,6-3,221,4.85,26.5,,105,6.96,4.40
3095,Danny Etling,QB,6-2,222,4.76,30.5,,114,7.09,4.37
3098,Luke Falk,QB,6-4,215,,26.5,,103,,
3101,Riley Ferguson,QB,6-3,212,4.98,29.0,,110,6.96,4.40
3104,Quinton Flowers,QB,5-10,214,4.63,,,112,6.81,4.57
3159,Lamar Jackson,QB,6-2,216,,,,,,
3187,Kyle Lauletta,QB,6-3,222,4.81,31.0,,113,6.95,4.07
3189,Tanner Lee,QB,6-4,218,4.98,32.0,,115,7.00,4.41
3193,Chase Litton,QB,6-5,230,4.90,29.5,,106,7.49,4.53
3201,Baker Mayfield,QB,6-1,215,4.84,29.0,,111,7.00,4.28
3261,Josh Rosen,QB,6-4,226,4.92,31.0,,111,7.09,4.28
3263,Mason Rudolph,QB,6-5,235,4.90,26.0,,,,
3277,Nic Shimonek,QB,6-3,220,4.88,28.5,,101,7.28,4.32
3329,Mike White,QB,6-5,224,5.09,27.0,,96,7.40,4.40
3342,Logan Woodside,QB,6-1,213,4.79,31.5,,103,6.94,4.15
