,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,-additional
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD,-9999
1,Mac Jones*,Alabama,SEC,13,311,402,77.4,4500,11.2,12.8,41,4,203.1,35,14,0.4,1,mac-jones-1
2,Kaleb Eleby,Western Michigan,MAC,6,99,153,64.7,1715,11.2,13.0,18,2,195.1,34,38,1.1,4,kaleb-eleby-1
3,Zach Wilson*,Brigham Young,Ind,12,247,336,73.5,3692,11.0,12.6,33,3,196.4,70,254,3.6,10,zach-wilson-3
4,Layne Hatcher,Arkansas State,Sun Belt,11,116,194,59.8,2058,10.6,12.1,19,2,179.2,43,15,0.3,0,layne-hatcher-1
5,Dustin Crum,Kent State,MAC,4,83,113,73.5,1181,10.5,11.8,12,2,192.7,44,240,5.5,4,dustin-crum-1
6,Sam Howell*,North Carolina,ACC,12,237,348,68.1,3586,10.3,11.1,30,7,179.1,92,146,1.6,5,sam-howell-1
7,Matt Corral*,Ole Miss,SEC,10,231,326,70.9,3337,10.2,10.1,29,14,177.6,112,506,4.5,4,matt-corral-1
8,Grayson McCall*,Coastal Carolina,Sun Belt,11,172,250,68.8,2488,10.0,11.5,26,3,184.3,111,569,5.1,7,grayson-mccall-1
9,Kyle Trask*,Florida,SEC,12,301,437,68.9,4283,9.8,10.9,43,8,180.0,64,50,0.8,3,kyle-trask-1
10,Spencer Rattler*,Oklahoma,Big 12,11,214,317,67.5,3031,9.6,10.3,28,7,172.6,81,160,2.0,6,spencer-rattler-1
11,Trevor Lawrence*,Clemson,ACC,10,231,334,69.2,3153,9.4,10.2,24,5,169.2,68,203,3.0,8,trevor-lawrence-1
12,Justin Fields*,Ohio State,Big Ten,8,158,225,70.2,2100,9.3,10.1,22,6,175.6,81,383,4.7,5,justin-fields-2
13,Tyler Shough*,Oregon,Pac-12,7,106,167,63.5,1559,9.3,9.3,13,6,160.4,66,271,4.1,2,tyler-shough-1
14,Feleipe Franks,Arkansas,SEC,9,163,238,68.5,2107,8.9,9.5,17,4,163.1,105,204,1.9,1,feleipe-franks-1
15,Austin Aune*,North Texas,CUSA,8,101,185,54.6,1650,8.9,9.4,13,4,148.4,27,29,1.1,2,austin-aune-1
16,Drew Plitt*,Ball State,MAC,8,164,250,65.6,2164,8.7,8.9,17,6,156.0,80,49,0.6,4,drew-plitt-1
17,Jake Haener,Fresno State,MWC,6,150,232,64.7,2021,8.7,8.9,14,5,153.4,57,18,0.3,3,jake-haener-1
18,Dillon Gabriel*,UCF,American,10,248,413,60.0,3570,8.6,9.8,32,4,156.3,72,169,2.3,2,dillon-gabriel-1
19,Malik Cunningham,Louisville,ACC,11,195,304,64.1,2617,8.6,8.1,20,12,150.3,131,609,4.6,7,malik-cunningham-1
20,Nick Starkel*,San Jose State,MWC,8,163,254,64.2,2174,8.6,8.7,17,7,152.6,13,-40,-3.1,0,nick-starkel-1
21,Kyle Vantrease*,Buffalo,MAC,7,96,154,62.3,1326,8.6,8.6,7,3,145.8,11,38,3.5,4,kyle-vantrease-1
22,Malik Willis*,Liberty,Ind,10,170,265,64.2,2250,8.5,9.0,20,6,155.8,141,944,6.7,14,malik-willis-1
23,Shane Buechele,SMU,American,10,242,370,65.4,3095,8.4,8.9,23,6,152.9,58,105,1.8,2,shane-buechele-1
24,Preston Hutchinson,Eastern Michigan,MAC,6,126,198,63.6,1662,8.4,8.2,12,6,148.1,87,206,2.4,8,preston-hutchinson-1
25,Taulia Tagovailoa,Maryland,Big Ten,4,75,122,61.5,1011,8.3,6.9,7,7,138.5,26,44,1.7,2,taulia-tagovailoa-1
26,Jayden Daniels,Arizona State,Pac-12,4,49,84,58.3,701,8.3,9.0,5,1,145.7,33,223,6.8,4,jayden-daniels-1
27,D'Eriq King*,Miami (FL),ACC,11,211,329,64.1,2686,8.2,8.9,23,5,152.7,130,538,4.1,4,deriq-king-1
28,Desmond Ridder*,Cincinnati,American,10,186,281,66.2,2296,8.2,8.6,19,6,152.9,98,592,6.0,12,desmond-ridder-1
29,Dylan Morris,Washington,Pac-12,4,67,110,60.9,897,8.2,7.7,4,3,136.0,17,57,3.4,2,dylan-morris-1
30,Carson Strong*,Nevada,MWC,9,249,355,70.1,2858,8.1,9.1,27,4,160.6,33,-95,-2.9,0,carson-strong-1
31,Sam Hartman*,Wake Forest,ACC,9,159,273,58.2,2224,8.1,8.3,13,5,138.7,63,-1,0.0,2,sam-hartman-1
32,Spencer Sanders*,Oklahoma State,Big 12,9,155,247,62.8,2007,8.1,7.8,14,8,143.2,101,269,2.7,2,spencer-sanders-1
33,Brady White*,Memphis,American,11,254,420,60.5,3380,8.0,8.5,31,10,147.7,63,88,1.4,2,brady-white-1
34,Ian Book*,Notre Dame,ACC,12,228,353,64.6,2830,8.0,8.5,15,3,144.3,116,485,4.2,9,ian-book-1
35,Sam Ehlinger*,Texas,Big 12,10,194,322,60.2,2566,8.0,8.9,26,5,150.7,113,377,3.3,8,sam-ehlinger-1
36,Brennan Armstrong,Virginia,ACC,9,157,268,58.6,2117,7.9,7.4,18,11,138.9,126,552,4.4,5,brennan-armstrong-1
37,Bailey Hockman*,North Carolina State,ACC,10,171,266,64.3,2088,7.8,7.0,13,11,138.1,58,-22,-0.4,3,bailey-hockman-1
38,Kellen Mond*,Texas A&M,SEC,10,188,297,63.3,2282,7.7,8.5,19,3,146.9,74,294,4.0,4,kellen-mond-1
39,Levi Lewis*,Louisiana,Sun Belt,11,177,297,59.6,2274,7.7,7.9,19,7,140.3,55,335,6.1,5,levi-lewis-1
40,Grant Wells*,Marshall,CUSA,10,165,270,61.1,2091,7.7,7.6,18,9,141.5,54,174,3.2,2,grant-wells-1
41,Desmond Trotter,South Alabama,Sun Belt,10,160,248,64.5,1917,7.7,7.9,11,4,140.9,84,3,0.0,2,desmond-trotter-1
42,Davis Mills,Stanford,Pac-12,5,129,195,66.2,1508,7.7,7.8,7,3,139.9,30,37,1.2,3,davis-mills-1
43,Phil Jurkovec,Boston College,ACC,10,205,336,61.0,2558,7.6,8.0,17,5,138.7,77,150,1.9,3,phil-jurkovec-1
44,Stetson Bennett*,Georgia,SEC,8,86,155,55.5,1179,7.6,6.9,8,6,128.7,24,54,2.3,2,stetson-bennett-1
45,Joe Milton,Michigan,Big Ten,6,80,141,56.7,1077,7.6,6.9,4,4,124.6,38,109,2.9,1,joe-milton-2
46,Brock Purdy*,Iowa State,Big 12,12,243,365,66.6,2750,7.5,7.5,19,9,142.1,87,382,4.4,5,brock-purdy-1
47,Cornelious Brown*,Georgia State,Sun Belt,10,178,304,58.6,2278,7.5,7.1,17,10,133.4,98,301,3.1,7,cornelious-brown-1
48,Zac Thomas*,Appalachian State,Sun Belt,12,186,291,63.9,2189,7.5,7.2,20,11,142.2,90,312,3.5,2,zac-thomas-2
49,Sean Clifford,Penn State,Big Ten,9,152,251,60.6,1883,7.5,7.2,16,9,137.4,99,335,3.4,3,sean-clifford-1
50,Max Duggan,TCU,Big 12,10,146,240,60.8,1795,7.5,7.6,10,4,134.1,116,526,4.5,10,max-duggan-1
51,Michael Penix Jr.*,Indiana,Big Ten,6,124,220,56.4,1645,7.5,7.9,14,4,136.5,18,25,1.4,2,michael-penix-jr-1
52,Tanner Morgan,Minnesota,Big Ten,7,106,183,57.9,1374,7.5,7.0,7,5,128.2,25,-35,-1.4,0,tanner-morgan-2
53,Chris Reynolds,Charlotte,CUSA,6,96,175,54.9,1305,7.5,7.9,8,2,130.3,50,36,0.7,0,chris-reynolds-1
54,Zach Smith*,Tulsa,American,9,147,263,55.9,1947,7.4,6.7,13,10,126.8,36,-62,-1.7,0,zach-smith-6
55,Levi Williams,Wyoming,MWC,6,59,119,49.6,877,7.4,6.4,1,3,109.2,56,100,1.8,6,levi-williams-1
56,Patrick O'Brien,Colorado State,MWC,4,45,80,56.3,591,7.4,7.0,3,2,125.7,23,10,0.4,2,patrick-obrien-1
57,Kenny Pickett,Pitt,ACC,9,203,332,61.1,2408,7.3,6.8,13,9,129.6,81,145,1.8,8,kenny-pickett-1
58,Connor Bazelak,Missouri,SEC,10,218,324,67.3,2366,7.3,6.9,7,6,132.1,44,20,0.5,2,connor-bazelak-1
59,Kedon Slovis,USC,Pac-12,6,177,264,67.0,1921,7.3,7.4,17,7,144.1,23,-57,-2.5,0,kedon-slovis-1
60,Jeff Sims,Georgia Tech,ACC,10,141,257,54.9,1881,7.3,6.1,13,13,122.9,120,492,4.1,6,jeff-sims-1
61,Clayton Tune*,Houston,American,8,170,285,59.6,2048,7.2,6.7,15,10,130.4,72,253,3.5,5,clayton-tune-1
62,Holton Ahlers,East Carolina,American,8,165,269,61.3,1927,7.2,7.0,18,9,136.9,54,109,2.0,1,holton-ahlers-1
63,Daniel Richardson,Central Michigan,MAC,5,63,99,63.6,714,7.2,7.1,4,2,133.5,14,-14,-1.0,1,daniel-richardson-1
64,Gunnar Watson,Troy,Sun Belt,9,211,301,70.1,2141,7.1,7.1,16,7,142.7,30,-66,-2.2,0,gunnar-watson-1
65,Logan Bonner,Arkansas State,Sun Belt,11,156,262,59.5,1863,7.1,7.5,18,6,137.4,34,25,0.7,0,logan-bonner-1
66,Michael Pratt*,Tulane,American,10,140,254,55.1,1806,7.1,7.3,20,8,134.5,115,229,2.0,8,michael-pratt-1
67,Gavin Hardison,UTEP,CUSA,7,108,199,54.3,1419,7.1,6.5,5,5,117.4,25,-32,-1.3,0,gavin-hardison-1
68,Jake Bentley,Utah,Pac-12,5,77,124,62.1,882,7.1,5.9,6,6,128.1,34,113,3.3,1,jake-bentley-2
69,Will Howard,Kansas State,Big 12,9,90,168,53.6,1178,7.0,5.3,8,10,116.3,78,364,4.7,3,will-howard-2
70,Adrian Martinez,Nebraska,Big Ten,7,108,151,71.5,1055,7.0,6.6,4,3,135.0,91,521,5.7,7,adrian-martinez-2
71,Jarret Doege*,West Virginia,Big 12,10,239,374,63.9,2587,6.9,7.2,14,4,132.2,40,-101,-2.5,2,jarret-doege-1
72,Alan Bowman,Texas Tech,Big 12,8,150,232,64.7,1602,6.9,6.4,10,7,130.8,10,3,0.3,0,alan-bowman-1
73,Jordan McCloud,South Florida,American,8,120,194,61.9,1341,6.9,7.4,9,2,133.2,62,74,1.2,1,jordan-mccloud-1
74,Sam Noyer*,Colorado,Pac-12,6,88,160,55.0,1101,6.9,5.7,6,7,116.4,52,208,4.0,5,sam-noyer-1
75,Rocky Lombardi,Michigan State,Big Ten,6,84,157,53.5,1090,6.9,5.4,8,9,117.2,32,39,1.2,0,rocky-lombardi-1
76,Jayden De Laura,Washington State,Pac-12,4,78,129,60.5,886,6.9,6.2,5,4,124.7,28,34,1.2,2,jayden-de-laura-1
77,Bo Nix*,Auburn,SEC,11,214,357,59.9,2415,6.8,6.6,12,7,123.9,108,388,3.6,7,bo-nix-1
78,Asher O'Hara,Middle Tennessee State,CUSA,9,192,287,66.9,1960,6.8,6.4,12,8,132.5,175,601,3.4,7,asher-ohara-1
79,Brady McBride,Texas State,Sun Belt,9,173,282,61.3,1925,6.8,6.9,17,7,133.6,64,76,1.2,0,brady-mcbride-1
80,Chevan Cordeiro*,Hawaii,MWC,9,195,313,62.3,2083,6.7,6.7,14,6,129.1,116,483,4.2,7,chevan-cordeiro-1
81,Ken Seals,Vanderbilt,SEC,9,186,288,64.6,1928,6.7,6.0,12,10,127.6,41,-52,-1.3,0,ken-seals-1
82,Luke Anthony*,Louisiana Tech,CUSA,9,138,221,62.4,1479,6.7,7.1,16,5,138.0,49,-58,-1.2,1,luke-anthony-1
83,Grant Gunnell,Arizona,Pac-12,4,64,93,68.8,625,6.7,7.0,6,2,142.3,23,22,1.0,0,grant-gunnell-1
84,Collin Hill,South Carolina,SEC,8,127,215,59.1,1411,6.6,5.9,6,6,117.8,43,-66,-1.5,4,collin-hill-1
85,Bryson Lucero,UAB,CUSA,7,79,146,54.1,969,6.6,5.1,7,8,114.7,8,-5,-0.6,0,bryson-lucero-1
86,Frank Harris*,UTSA,CUSA,11,159,250,63.6,1630,6.5,6.4,12,6,129.4,95,528,5.6,9,frank-harris-3
87,Spencer Petras,Iowa,Big Ten,8,140,245,57.1,1569,6.4,6.2,9,5,119.0,32,-4,-0.1,2,spencer-petras-1
88,Ross Bowers,Northern Illinois,MAC,6,123,212,58.0,1365,6.4,7.0,10,2,125.8,20,-59,-3.0,0,ross-bowers-1
89,Graham Mertz*,Wisconsin,Big Ten,7,118,193,61.1,1238,6.4,6.2,9,5,125.2,36,38,1.1,2,graham-mertz-1
90,Chase Brice,Duke,ACC,11,193,352,54.8,2170,6.2,4.8,10,15,107.5,91,93,1.0,1,chase-brice-1
91,Colby Suits,Louisiana-Monroe,Sun Belt,8,151,248,60.9,1537,6.2,5.6,8,7,117.9,35,57,1.6,0,colby-suits-1
92,Charlie Brewer,Baylor,Big 12,9,198,321,61.7,1958,6.1,5.9,14,8,122.3,107,154,1.4,4,charlie-brewer-1
93,Peyton Ramsey*,Northwestern,Big Ten,9,172,282,61.0,1733,6.1,5.7,12,8,121.0,84,247,2.9,3,peyton-ramsey-1
94,Jonah Johnson,New Mexico State,Ind,2,36,60,60.0,358,6.0,4.1,1,3,105.6,19,80,4.2,2,jonah-johnson-1
95,Terry Wilson*,Kentucky,SEC,10,125,200,62.5,1187,5.9,5.7,7,4,119.9,104,424,4.1,5,terry-wilson-3
96,Zach Gibson,Akron,MAC,6,76,132,57.6,784,5.9,4.8,4,5,109.9,48,-44,-0.9,0,zach-gibson-1
97,Matt McDonald,Bowling Green State,MAC,5,54,123,43.9,712,5.8,3.8,1,6,85.5,27,39,1.4,1,matt-mcdonald-1
98,Will Rogers*,Mississippi State,SEC,9,239,346,69.1,1976,5.7,5.4,11,7,123.5,30,-41,-1.4,1,will-rogers-1
99,Noah Vedral,Rutgers,Big Ten,7,136,221,61.5,1253,5.7,4.9,9,8,115.4,68,193,2.8,1,noah-vedral-1
100,Chase Garbers,California,Pac-12,4,85,136,62.5,771,5.7,5.6,6,3,120.3,39,75,1.9,2,chase-garbers-1
101,Tyrrell Pigrome*,Western Kentucky,CUSA,11,171,297,57.6,1603,5.4,5.7,9,2,111.6,105,325,3.1,4,tyrrell-pigrome-1
102,Rex Culpepper,Syracuse,ACC,10,94,190,49.5,1028,5.4,4.5,9,8,102.1,26,-64,-2.5,0,rex-culpepper-1
103,Nick Tronti*,Florida Atlantic,CUSA,9,89,167,53.3,905,5.4,5.3,6,3,107.1,70,139,2.0,2,nick-tronti-1
104,Max Gilliam,UNLV,MWC,6,89,148,60.1,786,5.3,4.8,5,4,110.5,62,252,4.1,2,max-gilliam-1
105,Jalon Daniels,Kansas,Big 12,7,76,152,50.0,718,4.7,3.7,1,4,86.6,73,20,0.3,3,jalon-daniels-1